Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
25/01/2023 12:00:00 am,0,0.29226018519148056,0,0.45693518594755755,0,403.36564315704112,182.55772642883329,0,0.90000000000000002,0,0,0,403.36564315704112
26/01/2023 12:00:00 am,50.075891911291535,0,-0.347348050834005,0.42323996212553922,0,0,0,0,0.85060606060606059,0,0,0,0
27/01/2023 12:00:00 am,50.157374910620291,0,-0.31488692000674257,0.3963699193354977,0,0,0,0,0.79571166207529853,0,0,0,0
28/01/2023 12:00:00 am,50.244351513455577,0,-0.28838797162896879,0.37536457446425431,0,0,0,0,0.73680060939978309,0,0,0,0
29/01/2023 12:00:00 am,50.45812310621772,0,-0.27071532213630678,0.48448691489844786,0,0,0,0,0.8872902592794969,0,13.200000000000005,0,0
30/01/2023 12:00:00 am,50.693346928719258,0,-0.25072064663237414,0.4859444691339122,0,0,0,0,0.84529984412632586,0,0,0,0
31/01/2023 12:00:00 am,50.937362469711964,0,-0.21642064707980779,0.46043618807251169,0,0,0,0,0.81060152331012081,0,0,0,0
1/02/2023 12:00:00 am,51.177598637799171,0,-0.17397541286961893,0.41421158095682098,0,0,0,0,0.79454353604409711,0,0,0,0
2/02/2023 12:00:00 am,51.419130090421703,0,-0.14648153067781067,0.38801298330033906,0,0,0,0,0.76975578515630871,0,0,0,0
3/02/2023 12:00:00 am,51.681262412268126,0,-0.13100625146004141,0.39313857330646512,0,0,0,0,0.74292432134238418,0,0,0,0
4/02/2023 12:00:00 am,51.972295512832581,0,-0.10851052072938661,0.39954362129384413,0,0,0,0,0.77056012827505938,0,0,0,0
5/02/2023 12:00:00 am,52.239684469914167,0,-0.085808784220258616,0.35319774130184406,0,0,0,0,0.72311114944335053,0,0,0,0
6/02/2023 12:00:00 am,52.61323955774602,0,-0.071003634597568421,0.44455872242942074,0,0,0,0,0.89211788054612706,0,13.200000000000005,0,0
7/02/2023 12:00:00 am,52.983645248404322,0,-0.057482896677385042,0.42788858733568569,0,0,0,0,0.84495191026481198,0,0,0,0
8/02/2023 12:00:00 am,53.354455192109327,0,-0.045213975866357003,0.4160239195713677,0,0,0,0,0.78541774750192506,0,0,0,0
9/02/2023 12:00:00 am,53.718224303843947,0,-0.030947005287027096,0.39471611702164483,0,0,0,0,0.75656350714194531,0,0,0,0
10/02/2023 12:00:00 am,54.059983482253152,0,-0.01782243434948505,0.35958161275868961,0,0,0,0,0.73062547109221843,0,0,0,0
11/02/2023 12:00:00 am,54.412181738793414,0,-0.0075414720134165947,0.35973972855367753,0,0,0,0,0.70585650029213109,0,0,0,0
12/02/2023 12:00:00 am,54.860775312830235,0,0.0024074348912836996,0.44618613914553523,0,0,0,0,0.88563532906141984,0,13.200000000000005,0,0
13/02/2023 12:00:00 am,55.278597715486413,0,0.010702375549861642,0.40712002710631873,0,0,0,0,0.85217726974378194,0,0,0,0
14/02/2023 12:00:00 am,55.685638213666188,0,0.017782158221530509,0.38925833995824977,0,0,0,0,0.83689379885021931,0,0,0,0
15/02/2023 12:00:00 am,56.089849704281733,0,0.024748147009280075,0.37946334360626022,0,0,0,0,0.8065716083155845,0,0,0,0
16/02/2023 12:00:00 am,56.50093918148152,0,0.032470956180643995,0.37861852101914173,0,0,0,0,0.76676943264749509,0,0,0,0
17/02/2023 12:00:00 am,56.927724576574903,0,0.040241201412312577,0.38654419368106507,0,0,0,0,0.75014610855388186,0,0,0,0
18/02/2023 12:00:00 am,57.354995244534557,0,0.04737273595079472,0.3798979320088624,0,0,0,0,0.71816711376711961,0,0,0,0
19/02/2023 12:00:00 am,57.775787628740403,0,0.051712718337389774,0.3690796658684572,0,0,0,0,0.71691456141759724,0,0,0,0
20/02/2023 12:00:00 am,58.185185895332268,0,0.055402342455343145,0.35399592413652214,0,0,0,0,0.70263073393129916,0,0,0,0
21/02/2023 12:00:00 am,58.594495955490601,0,0.058703701858373591,0.35060635829995951,0,0,0,0,0.70792185500526394,0,0,0,0
22/02/2023 12:00:00 am,58.980784415541834,0,0.058814321087350407,0.32747413896388172,0,0,0,0,0.7062656298004234,0,0,0,0
23/02/2023 12:00:00 am,59.425642191387446,0,0.057961510404309635,0.38689626544129979,0,0,0,0,0.89091437479646041,0,13.200000000000005,0,0
24/02/2023 12:00:00 am,59.85204307443361,0,0.060790631523234495,0.36561025152293053,0,0,0,0,0.83891679337001901,0,0,0,0
25/02/2023 12:00:00 am,60.265655045988623,0,0.063383806981452295,0.35022816457356032,0,0,0,0,0.79870479131745731,0,0,0,0
26/02/2023 12:00:00 am,60.667453332049753,0,0.066296341597523067,0.33550194446360609,0,0,0,0,0.75196706943258496,0,0,0,0
27/02/2023 12:00:00 am,61.074454175791018,0,0.070294162475025956,0.33670668126623826,0,0,0,0,0.72541143957217469,0,0,0,0
28/02/2023 12:00:00 am,61.552348690110691,0,0.070097003640054112,0.40779751067962045,0,0,0,0,0.89561502335438281,0,13.200000000000005,0,0
1/03/2023 12:00:00 am,62.011424869126564,0,0.071401089216756475,0.38767508979911541,0,0,0,0,0.85601900685822141,0,0,0,0
2/03/2023 12:00:00 am,62.436184488069742,0,0.069004598771243764,0.35575502017193134,0,0,0,0,0.83533926863652241,0,0,0,0
3/03/2023 12:00:00 am,62.845409383118167,0,0.068980254038949695,0.34024464100947438,0,0,0,0,0.81270764075428259,0,0,0,0
4/03/2023 12:00:00 am,63.221632558459014,0,0.067515348291820487,0.30870782704902694,0,0,0,0,0.76773356446843,0,0,0,0
5/03/2023 12:00:00 am,63.589278867467669,0,0.068178333442403982,0.29946797556625443,0,0,0,0,0.74267052050741666,0,0,0,0
6/03/2023 12:00:00 am,63.975444464770071,0,0.07321712954127868,0.31294846776112195,0,0,0,0,0.71564606787367879,0,0,0,0
7/03/2023 12:00:00 am,64.361820882538211,0,0.074169469567051394,0.31220694820108358,0,0,0,0,0.70630779750481143,0,0,0,0
8/03/2023 12:00:00 am,64.719677791418789,0,0.069934494454312102,0.28792241442626798,0,0,0,0,0.70191105580760849,0,0,0,0
9/03/2023 12:00:00 am,65.154881853548972,0,0.069549366295698078,0.36565469583447224,0,0,0,0,0.89196412262964075,0,13.200000000000005,0,0
10/03/2023 12:00:00 am,65.579427328443685,0,0.070579573096365422,0.35396590179834714,0,0,0,0,0.85250525607790062,0,0,0,0
11/03/2023 12:00:00 am,65.997050067227036,0,0.070359880194025948,0.34726285858931555,0,0,0,0,0.83965651638927519,0,0,0,0
12/03/2023 12:00:00 am,66.401764532923963,0,0.068386430840265078,0.33632803485667018,0,0,0,0,0.84018676036611006,0,0,0,0
13/03/2023 12:00:00 am,66.79097007142424,0,0.06672990994529826,0.32247562855497636,0,0,0,0,0.82851160459189288,0,0,0,0
14/03/2023 12:00:00 am,67.171124858600052,0,0.066654990585103491,0.31349979659070676,0,0,0,0,0.80407700378406732,0,0,0,0
15/03/2023 12:00:00 am,67.550313806506594,0,0.067170850797703352,0.31201809710883566,0,0,0,0,0.78843096269723989,0,0,0,0
16/03/2023 12:00:00 am,67.92834832595652,0,0.066842075592195016,0.31119244385773609,0,0,0,0,0.78573995215856918,0,0,0,0
17/03/2023 12:00:00 am,68.277273335795684,0,0.063677539821622275,0.28524747001754336,0,0,0,0,0.76013280267305405,0,0,0,0
18/03/2023 12:00:00 am,68.611191441841783,0,0.061270828098958674,0.27264727794714438,0,0,0,0,0.75700635893138835,0,0,0,0
19/03/2023 12:00:00 am,68.947880739064502,0,0.061894886470835075,0.27479441075188282,0,0,0,0,0.74595154370399619,0,0,0,0
20/03/2023 12:00:00 am,69.298199225260348,0,0.065257910743866887,0.28506057545198366,0,0,0,0,0.71516911803394789,0,0,0,0
21/03/2023 12:00:00 am,69.664751449155517,0,0.068064550598904816,0.29848767329626513,0,0,0,0,0.70213793485952325,0,0,0,0
22/03/2023 12:00:00 am,70.018817073094553,0,0.065324692469474144,0.28874093146956187,0,0,0,0,0.70598986782739115,0,0,0,0
23/03/2023 12:00:00 am,70.418635579166747,0,0.061310580571117157,0.3385079255010805,0,0,0,0,0.87921152515012713,0,13.200000000000005,0,0
24/03/2023 12:00:00 am,70.803736356471958,0,0.060266672259814413,0.32483410504539145,0,0,0,0,0.85391283692383368,0,0,0,0
