Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
25/01/2023 12:00:00 am,0,0.33165789349425268,0,0.45693518594755755,0,403.36564315704112,182.55772642883329,0,0.90000000000000002,0,0,0,403.36564315704112
26/01/2023 12:00:00 am,50.075891911291535,0,-0.347348050834005,0.42323996212553922,0,0,0,0,0.85060606060606059,0,0,0,0
27/01/2023 12:00:00 am,50.157374910620291,0,-0.31488692000674257,0.3963699193354977,0,0,0,0,0.79571166207529853,0,0,0,0
28/01/2023 12:00:00 am,50.244351513455577,0,-0.28838797162896879,0.37536457446425431,0,0,0,0,0.73680060939978309,0,0,0,0
29/01/2023 12:00:00 am,50.45812310621772,0,-0.27071532213630678,0.48448691489844786,0,0,0,0,0.8872902592794969,0,13.200000000000005,0,0
30/01/2023 12:00:00 am,50.693346928719258,0,-0.25072064663237414,0.4859444691339122,0,0,0,0,0.84529984412632586,0,0,0,0
31/01/2023 12:00:00 am,50.937362469711964,0,-0.21642064707980779,0.46043618807251169,0,0,0,0,0.81060152331012081,0,0,0,0
1/02/2023 12:00:00 am,51.177598637799171,0,-0.17397541286961893,0.41421158095682098,0,0,0,0,0.79454353604409711,0,0,0,0
2/02/2023 12:00:00 am,51.419130090421703,0,-0.14648153067781067,0.38801298330033906,0,0,0,0,0.76975578515630871,0,0,0,0
3/02/2023 12:00:00 am,51.681262412268126,0,-0.13100625146004141,0.39313857330646512,0,0,0,0,0.74292432134238418,0,0,0,0
4/02/2023 12:00:00 am,51.972295512832581,0,-0.10851052072938661,0.39954362129384413,0,0,0,0,0.77056012827505938,0,0,0,0
5/02/2023 12:00:00 am,52.239684469914167,0,-0.085808784220258616,0.35319774130184406,0,0,0,0,0.72311114944335053,0,0,0,0
6/02/2023 12:00:00 am,52.61323955774602,0,-0.071003634597568421,0.44455872242942074,0,0,0,0,0.89211788054612706,0,13.200000000000005,0,0
7/02/2023 12:00:00 am,52.983645248404322,0,-0.057482896677385042,0.42788858733568569,0,0,0,0,0.84495191026481198,0,0,0,0
8/02/2023 12:00:00 am,53.354455192109327,0,-0.045213975866357003,0.4160239195713677,0,0,0,0,0.78541774750192506,0,0,0,0
9/02/2023 12:00:00 am,53.718224303843947,0,-0.030947005287027096,0.39471611702164483,0,0,0,0,0.75656350714194531,0,0,0,0
10/02/2023 12:00:00 am,54.059983482253152,0,-0.01782243434948505,0.35958161275868961,0,0,0,0,0.73062547109221843,0,0,0,0
11/02/2023 12:00:00 am,54.412181738793414,0,-0.0075414720134165947,0.35973972855367753,0,0,0,0,0.70585650029213109,0,0,0,0
12/02/2023 12:00:00 am,54.860775312830235,0,0.0024074348912836996,0.44618613914553523,0,0,0,0,0.88563532906141984,0,13.200000000000005,0,0
13/02/2023 12:00:00 am,55.278597715486413,0,0.010702375549861642,0.40712002710631873,0,0,0,0,0.85217726974378194,0,0,0,0
14/02/2023 12:00:00 am,55.685638213666188,0,0.017782158221530509,0.38925833995824977,0,0,0,0,0.83689379885021931,0,0,0,0
15/02/2023 12:00:00 am,56.089849704281733,0,0.024748147009280075,0.37946334360626022,0,0,0,0,0.8065716083155845,0,0,0,0
