Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand,StoverNconc,ProductNconc
22/01/2021 12:00:00 am,0,0.1014052475736662,0,0.55504455047054368,0,318.03384101962104,177.16,0,0.90000000000000002,0,0,0.0031397174254319538,318.03384101962104,0.0090000000000000011,0.02
23/01/2021 12:00:00 am,49.067546063210827,0,-1.6251284724889534,0.69267453569978321,0,0,0,0,0.82772727272727264,0,0,0,0,0,0
24/01/2021 12:00:00 am,48.189061017347932,0,-1.4620202883172966,0.58353524245440624,0,0,0,0,0.73868388429752052,0,0,0,0,0,0
25/01/2021 12:00:00 am,47.23924013892541,0,-1.5808919810199438,0.6310711025974276,0,0,0,0,0.68160376596543948,0,0,0,0,0,0
26/01/2021 12:00:00 am,46.155176738948903,0,-1.77981569259543,0.69575229261891747,0,0,0,0,0.60724699149648242,0,0,0,0,0,0
27/01/2021 12:00:00 am,44.754162365835988,0,-2.2634119245636128,0.86239755145069963,0,0,0,0,0.53548143795598901,0,0,0,0,0,0
28/01/2021 12:00:00 am,43.702160711016006,0,-1.8035071360260453,0.75150548120606364,0,0,0,0,0.47219726801573586,0,0,0,0,0,0
29/01/2021 12:00:00 am,43.390741325457263,0,-0.67324769153287178,0.36182830597412841,0,0,0,0,0.72527037696679808,0,0,0,0,0,0
30/01/2021 12:00:00 am,43.066297653902637,0,-0.7296319741335342,0.40518830257890376,0,0,0,0,0.68574354709188967,0,0,0,0,0,0
31/01/2021 12:00:00 am,42.730826224890535,0,-0.76740946464157211,0.43193803562946914,0,0,0,0,0.63898830524471528,0,0,0,0,0,0
1/02/2021 12:00:00 am,42.400524837382513,0,-0.73514620783893747,0.40484482033091546,0,0,0,0,0.58089845931337758,0,0,0,0,0,0
2/02/2021 12:00:00 am,42.022907097539203,0,-0.89585531273755592,0.51823757289424444,0,0,0,0,0.54217189535915233,0,0,0,0,0,0
3/02/2021 12:00:00 am,41.696458007824631,0,-0.78336972811168337,0.45692063839711355,0,0,0,0,0.49863384921667503,0,0,0,0,0,0
4/02/2021 12:00:00 am,41.454135397440787,0,-0.68682823845148455,0.44450562806764177,0,0,0,0,0.45405900512003289,0,0,0,0,0,0
5/02/2021 12:00:00 am,41.307217852551332,0,-0.4016501371838519,0.25473259229439232,0,0,0,0,0.43135605486403128,0,0,0,0,0,0
6/02/2021 12:00:00 am,41.190232689607086,0,-0.38402404248580879,0.26703887954155719,0,0,0,0,0.40325255431985951,0,0,0,0,0,0
7/02/2021 12:00:00 am,41.200402720776353,0,-0.56666097117429004,0.57683100234355988,0,0,0,0,0.77575806197986907,0,26.400000000000002,0,0,0,0
8/02/2021 12:00:00 am,41.21136325883586,0,-0.59604654612007479,0.60700708417958249,0,0,0,0,0.71228694781787971,0,0,0,0,0,0
9/02/2021 12:00:00 am,41.232490300230936,0,-0.80596369911630816,0.82709074051137699,0,0,0,0,0.64429592098071853,0,0,0,0,0,0
10/02/2021 12:00:00 am,41.392319437925309,0,-0.5308957558307057,0.69072489352508071,0,0,0,0,0.75265464068182863,0,0,0,0,0,0
11/02/2021 12:00:00 am,41.527025542800644,0,-0.46230055376836177,0.59700665864369407,0,0,0,0,0.69107380644422456,0,0,0,0,0,0
12/02/2021 12:00:00 am,41.659650253779105,0,-0.47514972115460452,0.60777443213306304,0,0,0,0,0.61463685512539357,0,0,0,0,0,0
13/02/2021 12:00:00 am,41.761070959548107,0,-0.34967411831127748,0.45109482408028151,0,0,0,0,0.57831740459525671,0,0,0,0,0,0
14/02/2021 12:00:00 am,41.863947698294908,0,-0.32911264873879986,0.43198938748560389,0,0,0,0,0.53362924151289604,0,0,0,0,0,0
15/02/2021 12:00:00 am,41.996476036340567,0,-0.32899091183237061,0.46151924987803139,0,0,0,0,0.51503307097532536,0,0,0,0,0,0
