,WeatherStation,InitialN,SoilOrder,SampleDepth,BulkDensity,PMNtype,PMN,Trigger,Efficiency,Splits,AWC,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorSaleableYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentSaleableYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingSaleableYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
StovN0.5High,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN1.0High,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue10,13,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN1.5High,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue15,13,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN3.0High,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue30,13,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN4.5High,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue45,13,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN0.5Low,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue05,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN1.0Low,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue10,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN1.5Low,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue15,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN3.0Low,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue30,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
StovN4.5Low,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Full,TestResidue45,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,None removed,Full (Plough),TestResidue30,8,0,0,15,2023-04-10 00:00:00,Seed,2023-08-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
