,WeatherStation,SoilCategory,Texture,Rocks,SampleDepth,PMN,Splits,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorFieldYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentFieldYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingFieldYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
Lauder_Base,lauder,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Typical,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lincoln_Base,lincoln,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Typical,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Levin_Base,levin,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Typical,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lauder_Rocks,lauder,Sedimentary,Silt loam,50,0-30cm,20,3,Typical,Typical,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lincoln_Rocks,lincoln,Sedimentary,Silt loam,50,0-30cm,20,3,Typical,Typical,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Levin_Rocks,levin,Sedimentary,Silt loam,50,0-30cm,20,3,Typical,Typical,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lauder_VeryDry,lauder,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Very Dry,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lincoln_VeryDry,lincoln,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Very Dry,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Levin_VeryDry,levin,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Very Dry,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lauder_VeryWet,lauder,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Very Wet,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Lincoln_VeryWet,lincoln,Sedimentary,Silt loam,0,0-30cm,20,3,Typical,Very Wet,Full,Pea Grain General,6,0,0,13,2022-09-27 00:00:00,Seed,2023-01-25 00:00:00,Maturity,All removed,Full (Plough),Wheat Grain Feed,12,0,0,15,2023-04-10 00:00:00,Seed,2024-02-10 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-03-01 00:00:00,Seed,2024-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
